859/549 _1.56
153-124 _29
965-743 _222
740/800 _0.93
97+140 _237
268/727 _0.37
317/316 _1.0
89/99 _0.9
16+73 _89
816+500 _1316
679/760 _0.89
302/872 _0.35
140-412 _-272
941-448 _493
252*751 _189252
732+141 _873
870*266 _231420
965+270 _1235
576+764 _1340
758-710 _48
90/842 _0.11
513/264 _1.94
138/815 _0.17
429-932 _-503
294*43 _12642
445/814 _0.55
13+460 _473
102+843 _945
986-4 _982
445/744 _0.6
675/541 _1.25
99-244 _-145
499/299 _1.67
898*321 _288258
907*415 _376405
828/676 _1.22
398/107 _3.72
72+793 _865
660+717 _1377
520-992 _-472
589-939 _-350
509-640 _-131
812/240 _3.38
799*144 _115056
888/902 _0.98
785+406 _1191
271+211 _482
785-106 _679
526-647 _-121
778/681 _1.14
649+183 _832
984/348 _2.83
716+647 _1363
841-786 _55
732-232 _500
101*360 _36360
483*627 _302841
816/793 _1.03
771-349 _422
891/186 _4.79
147-684 _-537
606/395 _1.53
729-639 _90
16*889 _14224
337-25 _312
774-13 _761
186*807 _150102
557*114 _63498
2/977 _0.0
56+977 _1033
817+933 _1750
13-443 _-430
78+57 _135
793/39 _20.33
117*795 _93015
338*545 _184210
580*896 _519680
306+101 _407
63-551 _-488
79/715 _0.11
945*871 _823095
198*410 _81180
74*779 _57646
658/985 _0.67
928+493 _1421
350*590 _206500
160-651 _-491
160/406 _0.39
294*517 _151998
402*895 _359790
508/619 _0.82
743/184 _4.04
207-215 _-8
889*48 _42672
186/713 _0.26
903+657 _1560
24+864 _888
951/107 _8.89
932*399 _371868
875-368 _507
367-573 _-206
973+999 _1972
903+433 _1336
541+426 _967
426-457 _-31
607/606 _1.0
102+444 _546
40/304 _0.13
350/638 _0.55
23/736 _0.03
567*398 _225666
672+27 _699
299/865 _0.35
596+78 _674
291+374 _665
497/499 _1.0
817-201 _616
767/901 _0.85
196*987 _193452
355/222 _1.6
543/302 _1.8
840+162 _1002
359*571 _204989
88-166 _-78
852-315 _537
652+531 _1183
643/834 _0.77
460*773 _355580
739+799 _1538
973/449 _2.17
825+881 _1706
327*349 _114123
47+409 _456
154*710 _109340
335*245 _82075
461*957 _441177
87/588 _0.15
188+135 _323
91*401 _36491
337*553 _186361
152-582 _-430
790/132 _5.98
973-322 _651
807+176 _983
105/158 _0.66
692*583 _403436
932-631 _301
197+330 _527
291/675 _0.43
298-907 _-609
568*101 _57368
212/78 _2.72
41+802 _843
633/488 _1.3
628/594 _1.06
971-672 _299
944*847 _799568
250/384 _0.65
623-646 _-23
137*977 _133849
822+24 _846
812/918 _0.88
499*904 _451096
177/686 _0.26
625/329 _1.9
746/687 _1.09
346-974 _-628
456-16 _440
183+651 _834
783*609 _476847
440-16 _424
968-913 _55
253+368 _621
474/909 _0.52
416+782 _1198
250-223 _27
299*592 _177008
461/358 _1.29
163-612 _-449
816*924 _753984
232*210 _48720
876*654 _572904
113/858 _0.13
647+241 _888
142+872 _1014
875/346 _2.53
50/121 _0.41
502*744 _373488
260-485 _-225
5/656 _0.01
649*637 _413413
431*59 _25429
971-401 _570
708/894 _0.79
585/850 _0.69
981/272 _3.61
742*679 _503818
403+603 _1006
894/938 _0.95
2/762 _0.0
707*49 _34643
86*33 _2838
977-884 _93
700/758 _0.92
705+985 _1690
762+445 _1207
152/126 _1.21
471-148 _323
897/206 _4.35
454-673 _-219
772-346 _426
263-261 _2
860/117 _7.35
604/814 _0.74
829*858 _711282
706*580 _409480
805-343 _462
515/442 _1.17
91+311 _402
791*586 _463526
45/347 _0.13
921*850 _782850
929-965 _-36
1*925 _925
214+388 _602
850/798 _1.07
421*748 _314908
10*928 _9280
636*908 _577488
995-908 _87
88*362 _31856
205*395 _80975
555-674 _-119
199*207 _41193
741*925 _685425
538/93 _5.78
92-535 _-443
621+257 _878
385-781 _-396
593+433 _1026
124-59 _65
997-189 _808
665*286 _190190
746-963 _-217
434*90 _39060
299*351 _104949
541-211 _330
487/471 _1.03
281/351 _0.8
233+104 _337
634/828 _0.77
841*857 _720737
765-201 _564
890*974 _866860
514+548 _1062
307*32 _9824
745/623 _1.2
103/622 _0.17
212*290 _61480
853+235 _1088
978-574 _404
282*90 _25380
256+417 _673
274/628 _0.44
377*626 _236002
134*729 _97686
951*990 _941490
515/903 _0.57
827+393 _1220
97/788 _0.12
343/504 _0.68
433*373 _161509
596/864 _0.69
29+514 _543
800*404 _323200
644-724 _-80
961-372 _589
47+875 _922
462*529 _244398
185+776 _961
290*393 _113970
977-335 _642
231/577 _0.4
225+84 _309
197/253 _0.78
60-934 _-874
717/573 _1.25
183+789 _972
370*579 _214230
1+727 _728
164*471 _77244
536*227 _121672
972-467 _505
827-49 _778
132+588 _720
436*921 _401556
906-5 _901
165/51 _3.24
41/614 _0.07
347*475 _164825
6/68 _0.09
90-179 _-89
499/445 _1.12
552*243 _134136
98/971 _0.1
821/200 _4.11
615-498 _117
757+897 _1654
645+335 _980
266/221 _1.2
663/707 _0.94
456+515 _971
530+550 _1080
514*773 _397322
978+321 _1299
7*378 _2646
445/400 _1.11
272+959 _1231
623*511 _318353
620-593 _27
217*957 _207669
97/17 _5.71
695*795 _552525
445-965 _-520
498+390 _888
993-847 _146
404*546 _220584
64/27 _2.37
45-61 _-16
781/769 _1.02
218*686 _149548
404+417 _821
314*290 _91060
950*6 _5700
620-57 _563
528+993 _1521
535-259 _276
90-367 _-277
356*827 _294412
459+308 _767
939+643 _1582
537*575 _308775
457-413 _44
783/879 _0.89
904/616 _1.47
261+499 _760
841-476 _365
330/155 _2.13
408+660 _1068
191*203 _38773
477+954 _1431
294+572 _866
77/44 _1.75
368-141 _227
185+13 _198
951/365 _2.61
463-677 _-214
816*625 _510000
862+469 _1331
20/851 _0.02
497-89 _408
25/732 _0.03
852+184 _1036
977*988 _965276
362+453 _815
703*626 _440078
172+141 _313
793+982 _1775
372+683 _1055
53/393 _0.13
473-745 _-272
145/244 _0.59
331/925 _0.36
362/854 _0.42
406/40 _10.15
257-3 _254
560-733 _-173
60*984 _59040
440*53 _23320
852-505 _347
183/724 _0.25
745*546 _406770
836*336 _280896
551/125 _4.41
635-170 _465
568-229 _339
162-764 _-602
701*938 _657538
827-602 _225
968/481 _2.01
174/243 _0.72
965-457 _508
637+510 _1147
181*753 _136293
617*682 _420794
898*853 _765994
649-803 _-154
397+45 _442
709*11 _7799
651/459 _1.42
910+98 _1008
94+806 _900
948-458 _490
29-512 _-483
287-44 _243
204*633 _129132
574+483 _1057
446/700 _0.64
607*631 _383017
304+495 _799
377+383 _760
355-611 _-256
27+453 _480
432-615 _-183
29+617 _646
930/442 _2.1
780-990 _-210
482+863 _1345
373-727 _-354
796/891 _0.89
895*133 _119035
562/809 _0.69
791/697 _1.13
87+346 _433
160/395 _0.41
321+881 _1202
387*799 _309213
717/94 _7.63
907+864 _1771
192*190 _36480
701*320 _224320
605-359 _246
208-174 _34
186*774 _143964
790+484 _1274
878/68 _12.91
799*563 _449837
584/66 _8.85
782+613 _1395
996+986 _1982
323/64 _5.05
278-183 _95
447/817 _0.55
510*231 _117810
812+90 _902
180/621 _0.29
362+591 _953
645*251 _161895
230-410 _-180
188/237 _0.79
204*836 _170544
974/152 _6.41
971*603 _585513
25*821 _20525
748+765 _1513
819/578 _1.42
359-22 _337
273+527 _800
962-543 _419
675-650 _25
712-639 _73
540*544 _293760
272+428 _700
981-385 _596
715+220 _935
735-104 _631
273-459 _-186
64-496 _-432
596/586 _1.02
640+299 _939
866*55 _47630
449/502 _0.89
804/644 _1.25
480/105 _4.57
926-550 _376
140+337 _477
685/569 _1.2
538-238 _300
312+292 _604
386+437 _823
643*238 _153034
458*636 _291288
569/88 _6.47
321*41 _13161
823*948 _780204
441+935 _1376
922*907 _836254
378+178 _556
287+56 _343
741/925 _0.8
462/759 _0.61
520+470 _990
963*65 _62595
610-199 _411
281/833 _0.34
289-844 _-555
631*749 _472619
474-935 _-461
52-475 _-423
139/246 _0.57
73+605 _678
800-660 _140
120-652 _-532
345*453 _156285
704*751 _528704
614*346 _212444
758/585 _1.3
888*571 _507048
441-748 _-307
824/379 _2.17
27*824 _22248
733-11 _722
984+483 _1467
64*827 _52928
424/23 _18.43
56*812 _45472
422+112 _534
416*328 _136448
156+690 _846
540/447 _1.21
578/652 _0.89
286-415 _-129
964-215 _749
482+737 _1219
441-944 _-503
601-417 _184
570-857 _-287
172*405 _69660
202-391 _-189
193/853 _0.23
59*283 _16697
208*767 _159536
29+196 _225
32*523 _16736
231-82 _149
200+58 _258
143+748 _891
576-273 _303
713+430 _1143
902*264 _238128
557+168 _725
959/825 _1.16
472*790 _372880
765+808 _1573
474*674 _319476
562+466 _1028
321*788 _252948
545*750 _408750
718*404 _290072
46-93 _-47
309+827 _1136
603+370 _973
696*454 _315984
334*238 _79492
602+855 _1457
622/273 _2.28
91-938 _-847
631-86 _545
343-334 _9
584-870 _-286
611-30 _581
560*17 _9520
657+465 _1122
103*32 _3296
606-998 _-392
103-100 _3
217-401 _-184
16-722 _-706
845-492 _353
788*750 _591000
767*212 _162604
833+114 _947
546-653 _-107
328*849 _278472
59*798 _47082
575-421 _154
902-676 _226
880+6 _886
47/52 _0.9
843+404 _1247
975+971 _1946
762-587 _175
887*599 _531313
520/942 _0.55
702+289 _991
450-917 _-467
775*193 _149575
837-990 _-153
134+910 _1044
450/652 _0.69
946+926 _1872
291+83 _374
233+297 _530
214/680 _0.31
516*705 _363780
696*184 _128064
491-118 _373
508-870 _-362
664-970 _-306
931-300 _631
840*248 _208320
821-922 _-101
886*398 _352628
620-729 _-109
188/473 _0.4
430+112 _542
476+74 _550
694-311 _383
161-998 _-837
550*81 _44550
972*592 _575424
647/241 _2.68
552/319 _1.73
843/96 _8.78
324/298 _1.09
39+605 _644
485+652 _1137
208-725 _-517
489-379 _110
83+477 _560
232*504 _116928
261-590 _-329
984-144 _840
858-74 _784
895-827 _68
923-653 _270
225+294 _519
131*819 _107289
812-890 _-78
335-627 _-292
440/115 _3.83
798+750 _1548
919/282 _3.26
796+338 _1134
353+275 _628
215+473 _688
618*675 _417150
738*259 _191142
819-242 _577
503+365 _868
171/964 _0.18
602+998 _1600
827/706 _1.17
499-773 _-274
93+724 _817
748*486 _363528
321*52 _16692
887+937 _1824
244+613 _857
813*511 _415443
230*135 _31050
22/34 _0.65
144*514 _74016
962*157 _151034
377/48 _7.85
647*721 _466487
424-372 _52
886*285 _252510
766+772 _1538
441*150 _66150
356/769 _0.46
970*717 _695490
44*474 _20856
38+286 _324
36*231 _8316
507+232 _739
870+460 _1330
570+501 _1071
332-317 _15
483+692 _1175
824+812 _1636
92-409 _-317
579/535 _1.08
603+389 _992
522+434 _956
163/831 _0.2
649-71 _578
710/359 _1.98
52*982 _51064
864/478 _1.81
976*711 _693936
677-459 _218
842+658 _1500
860+893 _1753
387-427 _-40
593+568 _1161
628*608 _381824
792+750 _1542
583/337 _1.73
224/369 _0.61
990*604 _597960
632/457 _1.38
37/275 _0.13
904-918 _-14
655*899 _588845
197-486 _-289
62*249 _15438
627*690 _432630
190-587 _-397
662-362 _300
928*163 _151264
712/460 _1.55
502*630 _316260
520/633 _0.82
346/540 _0.64
144-890 _-746
939+994 _1933
580+485 _1065
642*729 _468018
696-406 _290
948+199 _1147
763+698 _1461
949+562 _1511
584-562 _22
566/778 _0.73
759/51 _14.88
142+871 _1013
273+755 _1028
501-936 _-435
218-210 _8
930-646 _284
351+372 _723
904*633 _572232
816/960 _0.85
893+433 _1326
438/507 _0.86
811/844 _0.96
385*393 _151305
272/458 _0.59
782-585 _197
765-252 _513
672*294 _197568
693/475 _1.46
685/163 _4.2
172/191 _0.9
177/501 _0.35
690*252 _173880
446-808 _-362
976+268 _1244
417*30 _12510
867/682 _1.27
815*942 _767730
21+662 _683
108*262 _28296
274-807 _-533
776*913 _708488
143*717 _102531
223+668 _891
345*228 _78660
506/932 _0.54
622+901 _1523
830-312 _518
17+323 _340
807-801 _6
558+736 _1294
998+80 _1078
744/420 _1.77
715/18 _39.72
825-710 _115
502*720 _361440
557/242 _2.3
513+529 _1042
125*938 _117250
715+793 _1508
69-544 _-475
456+974 _1430
452/726 _0.62
7/206 _0.03
911-366 _545
311+946 _1257
893+950 _1843
359*338 _121342
985*413 _406805
527/554 _0.95
571-720 _-149
167/871 _0.19
87+947 _1034
703*173 _121619
21*140 _2940
452/117 _3.86
986-194 _792
142/374 _0.38
839-88 _751
771/11 _70.09
39+157 _196
760-127 _633
454-161 _293
900+355 _1255
695/136 _5.11
469/126 _3.72
460*944 _434240
856*261 _223416
483/737 _0.66
596*395 _235420
714/57 _12.53
766*610 _467260
5+144 _149
433/755 _0.57
864-517 _347
725-960 _-235
611+128 _739
660/778 _0.85
422*506 _213532
548-121 _427
550-137 _413
503+375 _878
259+979 _1238
502/387 _1.3
442*24 _10608
40*602 _24080
441+433 _874
343*433 _148519
669*178 _119082
566*446 _252436
11/19 _0.58
32+200 _232
170+67 _237
611+66 _677
28+72 _100
390-753 _-363
20+448 _468
759/835 _0.91
882*384 _338688
709+249 _958
143/905 _0.16
674*75 _50550
622*643 _399946
919/573 _1.6
304-811 _-507
102/115 _0.89
947-251 _696
49+758 _807
963+267 _1230
970/130 _7.46
326/896 _0.36
622*66 _41052
415+900 _1315
586*58 _33988
708*44 _31152
193-824 _-631
409+770 _1179
356*194 _69064
78/367 _0.21
84/960 _0.09
303+251 _554
347-483 _-136
388/976 _0.4
769-240 _529
24+959 _983
39-396 _-357
416+720 _1136
200*774 _154800
299+86 _385
141-334 _-193
630*743 _468090
933*821 _765993
540-547 _-7
470-230 _240
62*852 _52824
280-124 _156
145+783 _928
421*612 _257652
334-128 _206
640+428 _1068
753/118 _6.38
714/804 _0.89
917+193 _1110
530*77 _40810
258-431 _-173
144*912 _131328
245+273 _518
946/235 _4.03
257/134 _1.92
227+60 _287
272-372 _-100
68-752 _-684
33/208 _0.16
911+849 _1760
55*437 _24035
567*578 _327726
530-567 _-37
786-619 _167
498+148 _646
81/944 _0.09
41+25 _66
878*882 _774396
642/454 _1.41
113-567 _-454
747/207 _3.61
896*556 _498176
896/926 _0.97
847-840 _7
305/689 _0.44
872*524 _456928
670-543 _127
545*269 _146605
906/696 _1.3
709*19 _13471
800*85 _68000
78-329 _-251
8*878 _7024
864/644 _1.34
264+532 _796
230+802 _1032
942+650 _1592
12*168 _2016
525*389 _204225
160-695 _-535
929/432 _2.15
311-966 _-655
741+172 _913
766+801 _1567
166+203 _369
141-867 _-726
236/832 _0.28
665+574 _1239
444/182 _2.44
424/142 _2.99
179/451 _0.4
144*574 _82656
800+883 _1683
260/965 _0.27
36*763 _27468
366+265 _631
129-755 _-626
443-732 _-289
221/335 _0.66
2*782 _1564
552/406 _1.36
915/469 _1.95
477-365 _112
67+919 _986
870+672 _1542
270+461 _731
895*170 _152150
246+855 _1101
646/269 _2.4
308/984 _0.31
772-495 _277
843*553 _466179
722*457 _329954
269-789 _-520
765*5 _3825
913+665 _1578
475*113 _53675
638/253 _2.52
113+612 _725
544-502 _42
618-366 _252
78/536 _0.15
603*238 _143514
403*171 _68913
308-70 _238
328*560 _183680
868+698 _1566
111-27 _84
858*453 _388674
282-939 _-657
673+922 _1595
824*35 _28840
846-752 _94
126*710 _89460
753-574 _179
769/124 _6.2
416/392 _1.06
635*361 _229235
513*82 _42066
752-888 _-136
791*199 _157409
974*490 _477260
538*245 _131810
815/7 _116.43
279-934 _-655
847+581 _1428
509+12 _521
726*831 _603306
173+55 _228
834+63 _897
88+597 _685
888/699 _1.27
516-198 _318
96-746 _-650
368+669 _1037
784-459 _325
349/897 _0.39
461-23 _438
870*939 _816930
776/709 _1.09
654+212 _866
282*928 _261696
716/802 _0.89
378-119 _259
749-481 _268
249-909 _-660
803*355 _285065
794+15 _809
399*183 _73017
159/361 _0.44
967*866 _837422
685-767 _-82
194-397 _-203
219+808 _1027
623-197 _426
981*786 _771066
483+948 _1431
100-652 _-552
705*952 _671160
621*498 _309258
255+998 _1253
565+460 _1025
25/197 _0.13
509+796 _1305
225*761 _171225
202*386 _77972
195*550 _107250
492/349 _1.41
829-993 _-164
291-450 _-159
805*811 _652855
183+713 _896
515*308 _158620
114-716 _-602
105/603 _0.17
620+836 _1456
70*189 _13230
730+485 _1215
5+739 _744
867+920 _1787
136-280 _-144
117+511 _628
665+541 _1206
955-82 _873
414-45 _369
128-711 _-583
526*189 _99414
564/552 _1.02
583+814 _1397
297-398 _-101
85+361 _446
733-183 _550
861*94 _80934
859/461 _1.86
926/871 _1.06
394-680 _-286
291+994 _1285
128+12 _140
473/550 _0.86
965+992 _1957
68*939 _63852
359-246 _113
786*841 _661026
655-713 _-58
353-122 _231
184*524 _96416
644*89 _57316
904-349 _555
442*202 _89284
651/504 _1.29
99*268 _26532
355/370 _0.96
912+418 _1330
9*359 _3231
309/942 _0.33
581-558 _23
516-7 _509
957-668 _289
17-276 _-259
927+953 _1880
55-449 _-394
685*567 _388395
730*242 _176660
442/187 _2.36
310/70 _4.43
359-886 _-527
489*678 _331542
400+845 _1245
383/680 _0.56
679/503 _1.35
441-662 _-221
525/280 _1.88
855+213 _1068
557*689 _383773
360+753 _1113
286-137 _149
947*367 _347549
67+792 _859
486*749 _364014
318*957 _304326
186/457 _0.41
696*634 _441264
647+283 _930
291*557 _162087
418*486 _203148
795+940 _1735
411/390 _1.05
844-707 _137
688+819 _1507
518/759 _0.68
716-812 _-96
259+816 _1075
933/474 _1.97
803*375 _301125
742-751 _-9
689-486 _203
87+477 _564
938/481 _1.95
165-262 _-97
351/472 _0.74
488-540 _-52
187-834 _-647
287+322 _609
123/518 _0.24
35-27 _8
723/899 _0.8
11+915 _926
974-586 _388
557/429 _1.3
113*148 _16724
653-271 _382
491+155 _646
906*514 _465684
736-318 _418
923/916 _1.01
825-913 _-88
790-236 _554
944-371 _573
167/337 _0.5
906+563 _1469
941+399 _1340
540-707 _-167
63*152 _9576
493*656 _323408
166/119 _1.39
485/899 _0.54
624-948 _-324
289-459 _-170
164*222 _36408
500*326 _163000
280-683 _-403
346-714 _-368
91/989 _0.09
478*856 _409168
677+87 _764
343-20 _323
814*401 _326414
141+579 _720
868-524 _344
554-24 _530
280*899 _251720
946/251 _3.77
624/97 _6.43
678-604 _74
769+364 _1133
535/690 _0.78
299-830 _-531
231+587 _818
530*712 _377360
366/559 _0.65
939/537 _1.75
373*841 _313693
662+465 _1127
374-189 _185
974-318 _656
751-903 _-152
379*258 _97782
237-908 _-671
636-645 _-9
378*868 _328104
607-54 _553
192-792 _-600
46+139 _185
234+510 _744
945/576 _1.64
428/767 _0.56
897/281 _3.19
207+291 _498
416+275 _691
991-281 _710
624+102 _726
762+331 _1093
713*254 _181102
197+76 _273
861-553 _308
567*374 _212058
143+286 _429
906/920 _0.98
691/493 _1.4
773/884 _0.87
791+915 _1706
548*289 _158372
281/908 _0.31
225+426 _651
509-390 _119
387*37 _14319
686-817 _-131
492/20 _24.6
424+779 _1203
786*933 _733338
620+670 _1290
131-923 _-792
122*338 _41236
19*151 _2869
777/114 _6.82
162+890 _1052
768*911 _699648
535-367 _168
230/972 _0.24
896*577 _516992
29+332 _361
388*675 _261900
490-536 _-46
833*525 _437325
239/305 _0.78
153-116 _37
409/443 _0.92
435*435 _189225
363+13 _376
270-264 _6
806+643 _1449
821+205 _1026
640+908 _1548
620*998 _618760
1+529 _530
327-127 _200
60/635 _0.09
563*111 _62493
284-808 _-524
542/424 _1.28
217-336 _-119
105/10 _10.5
318*340 _108120
229+935 _1164
402+609 _1011
119-655 _-536
453*551 _249603
732-436 _296
950*434 _412300
2-789 _-787
513+557 _1070
532-170 _362
738+92 _830
216*194 _41904
434*21 _9114
454-152 _302
141/575 _0.25
276*511 _141036
454-884 _-430
778+425 _1203
714/396 _1.8
669/177 _3.78
957+438 _1395
700/984 _0.71
842+475 _1317
3*243 _729
76/173 _0.44
266-718 _-452
711*278 _197658
990+125 _1115
904+499 _1403
369/133 _2.77
515-378 _137
360-60 _300
523*889 _464947
221-368 _-147
756/591 _1.28
588/114 _5.16
295+240 _535
81-831 _-750
241-958 _-717
865*797 _689405
306+36 _342
735/390 _1.88
46+797 _843
81-538 _-457
423-346 _77
60*925 _55500
729+879 _1608
527*257 _135439
397*863 _342611
71/868 _0.08
658-694 _-36
238/302 _0.79
220+330 _550
691+524 _1215
328*181 _59368
168-701 _-533
343/604 _0.57
272/846 _0.32
483-518 _-35
413*251 _103663
876-772 _104
551*158 _87058
328/201 _1.63
144/877 _0.16
97-228 _-131
980/154 _6.36
778+949 _1727
114*937 _106818
536*629 _337144
688*84 _57792
542+583 _1125
729/70 _10.41
629*423 _266067
875-176 _699
149+358 _507
319/706 _0.45
79*956 _75524
199-36 _163
557-555 _2
107/420 _0.25
847*362 _306614
541+173 _714
739/658 _1.12
917-800 _117
675-632 _43
324+441 _765
24/200 _0.12
39/340 _0.11
517/781 _0.66
360+314 _674
312-394 _-82
376/404 _0.93
171*417 _71307
704-825 _-121
653-874 _-221
525+50 _575
445+299 _744
619*598 _370162
430*907 _390010
221-912 _-691
552/719 _0.77
331+984 _1315
270-806 _-536
54*353 _19062
527+324 _851
852+170 _1022
820+710 _1530
606+926 _1532
636-370 _266
712*7 _4984
127*940 _119380
755*659 _497545
120+220 _340
725/185 _3.92
29/406 _0.07
806+106 _912
622/66 _9.42
644/510 _1.26
336*50 _16800
966*227 _219282
787/40 _19.68
148*205 _30340
612/515 _1.19
247*920 _227240
11/878 _0.01
841/707 _1.19
70+63 _133
321-331 _-10
342+485 _827
881-402 _479
528-339 _189
662*62 _41044
448-88 _360
322/398 _0.81
916+155 _1071
443*410 _181630
326+164 _490
557/434 _1.28
919*941 _864779
649/66 _9.83
85*944 _80240
358-247 _111
991-461 _530
983-383 _600
584+638 _1222
977*465 _454305
495/60 _8.25
236/347 _0.68
609*449 _273441
809/976 _0.83
984*948 _932832
212*921 _195252
418/601 _0.7
376/212 _1.77
790/693 _1.14
474+953 _1427
947+421 _1368
225+155 _380
619-837 _-218
304+109 _413
226+529 _755
814/247 _3.3
557+979 _1536
551/464 _1.19
613*259 _158767
394+156 _550
47-199 _-152
303/626 _0.48
127/861 _0.15
86*126 _10836
305/760 _0.4
132/913 _0.14
926+619 _1545
670*499 _334330
709*531 _376479
719/892 _0.81
660*800 _528000
298+485 _783
57-206 _-149
908-312 _596
536/351 _1.53
412*888 _365856
558/85 _6.56
944+921 _1865
901*925 _833425
229*841 _192589
959+112 _1071
469/672 _0.7
382-985 _-603
560+266 _826
28+97 _125
142+889 _1031
634/612 _1.04
99*241 _23859
169*703 _118807
850*656 _557600
357/841 _0.42
701*34 _23834
241*508 _122428
518-478 _40
715/61 _11.72
954/497 _1.92
694/80 _8.68
321-487 _-166
707-422 _285
961-307 _654
606+594 _1200
512/147 _3.48
354-520 _-166
59*985 _58115
297+926 _1223
930+808 _1738
786-745 _41
797-214 _583
498+664 _1162
810*551 _446310
911-245 _666
180/921 _0.2
262+668 _930
771-999 _-228
458*667 _305486
835+695 _1530
119+377 _496
964*764 _736496
583*696 _405768
480*925 _444000
162-200 _-38
294+233 _527
655+271 _926
571-199 _372
951-305 _646
691*693 _478863
381/49 _7.78
992*111 _110112
324+283 _607
393*194 _76242
6-423 _-417
424+562 _986
994*730 _725620
543+220 _763
416/817 _0.51
384/51 _7.53
982*435 _427170
979-891 _88
862-946 _-84
275/331 _0.83
591*559 _330369
800/528 _1.52
20/112 _0.18
363/433 _0.84
658+816 _1474
449/557 _0.81
380-880 _-500
711-403 _308
608+961 _1569
118+846 _964
948*280 _265440
420+416 _836
190*878 _166820
314*245 _76930
617/376 _1.64
392+147 _539
822-76 _746
244*380 _92720
944/210 _4.5
386/901 _0.43
445+480 _925
977*401 _391777
325/967 _0.34
905*521 _471505
758-249 _509
577*520 _300040
860+323 _1183
679/709 _0.96
125*987 _123375
352-883 _-531
263/235 _1.12
113/18 _6.28
510+531 _1041
34/652 _0.05
650/447 _1.45
69-462 _-393
873+290 _1163
293+115 _408
883/862 _1.02
170+669 _839
8*582 _4656
694+718 _1412
35*559 _19565
699+392 _1091
14+802 _816
485/842 _0.58
110-762 _-652
326-780 _-454
291/117 _2.49
414-743 _-329
778/210 _3.7
825+756 _1581
824+657 _1481
38-824 _-786
581+869 _1450
447/131 _3.41
610/781 _0.78
519-680 _-161
857/513 _1.67
539/770 _0.7
973-76 _897
868/391 _2.22
356/86 _4.14
260-79 _181
534/210 _2.54
583*5 _2915
492-747 _-255
455/382 _1.19
945-14 _931
148/940 _0.16
102-640 _-538
142/30 _4.73
7+452 _459
896-26 _870
759-30 _729
701-731 _-30
641-226 _415
555-84 _471
173+394 _567
436+265 _701
944-791 _153
701*548 _384148
584-357 _227
175*754 _131950
438-634 _-196
661+683 _1344
222*427 _94794
400*281 _112400
250/528 _0.47
113/296 _0.38
5-319 _-314
612-147 _465
781+551 _1332
391-582 _-191
9-1 _8
386*723 _279078
749+222 _971
855/502 _1.7
684*590 _403560
525*459 _240975
751-26 _725
945+360 _1305
653*736 _480608
327/589 _0.56
855*995 _850725
